dir,Entry,updated,nSub,SPSDD,year1,author1,doi1,Ref1,Title
D/D41,D4122,20030721,2,,1997,F.Rosch+,,"Jour: Applied Radiation and Isotopes, Vol.48, p.19 (1997)","Production of positron-emitting 110mIn via the 110Cd(3He,3n)110Sn-110mIn process"
D/D41,D4123,20060828,4,,2006,M.S.Uddin+,,"Jour: Applied Radiation and Isotopes, Vol.64, p.1013 (2006)","Experimental studies of the deuteron-induced activation cross-sections on natural Ag"
D/D41,D4124,20041217,3,,1999,B.Scholten+,,"Jour: Applied Radiation and Isotopes, Vol.51, p.69 (1999)","Excitation functions for the cyclotron production of 99mTc and 99Mo."
D/D41,D4125,20081223,4,,2002,S.Sudar+,,"Jour: Applied Radiation and Isotopes, Vol.56, p.821 (2002)","Measuremets and nuclear model calculations on proton- induced reactions on 103Rh up to 40MeV: evaluation of the excitation function of the 103Rh(p,n)103Pd reaction relevant to the production of the therapeutic radionuclide 103Pd"
D/D41,D4126,20030729,3,,2000,A.Hohn+,,"Jour: Applied Radiation and Isotopes, Vol.52, p.923 (2000)","Excitation functions of 120Te(d,xn)121,120m,gI reactions from threshold up to 13.5MeV: comparative studies on the production of 120gI."
D/D41,D4127,20030729,7,,2002,S.Kastleiner+,,"Jour: Applied Radiation and Isotopes, Vol.56, p.685 (2002)","Excitation functions of 85Rb(p,xn)85m,g,83,82,81Sr reactions up tp 100 MeV: integral tests of cross section data,comparison of production routes of 83Sr thick target yield of 82Sr"
D/D41,D4128,20030807,3,,2003,Z.Kovacs+,,"Jour: Radiochimica Acta, Vol.91, p.185 (2003)","Cross section measurements using gas and solid targets for production of the positron-emitting radionuclide O-14"
D/D41,D4129,20030821,2,,1997,B.Strohmaier+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.56, p.2654 (1997)","Production cross sections of ground and isomeric states in the reaction systems 93Nb+3He, 92Mo+a and 94,95Mo+p"
D/D41,D4130,20031222,5,,1996,S.Sudar+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.53, p.2885 (1996)","Isomeric cross section ratio for the formation of 58m,gCo in neutron, proton, deuteron and alpha-particle induced reactions in the energy region up to 25 MeV"
D/D41,D4131,20030919,2,,1996,M.R.Zaman+,,"Jour: Radiochimica Acta, Vol.75, p.59 (1996)","Excitation functions of (d,n) and (d,a) reactions on high enriched 54Fe: Relevance to the Production of high purity 55Co at a small cyclotron."
D/D41,D4132,20070319,11,,2006,A.Hermanne+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.251, p.333 (2006)","Experimental determination of activation cross section of alpha-induced nuclear reactions on natural Pt"
D/D41,D4133,20060727,3,,1997,M.Fassbender+,,"Conf: Conf.on Nucl.Data for Sci.and Techn., Trieste 1997, p.1647 (1997)","Activation cross section data for (p,x) processes of therapeutic relevance"
D/D41,D4134,20060727,4,,1997,A.Fenyvesi+,,"Conf: Conf.on Nucl.Data for Sci.and Techn., Trieste 1997, p.1707 (1997)","Excitation functions of charged particle induced reactions on neon: Relevance to the production of 22,24Na and 18F"
D/D41,D4135,20031001,2,,2000,F.Rosch+,,"Jour: Acta Oncologica (Stockholm), Vol.39, p.727 (2000)","Production and radiochemical separation of the Auger electron emitter 140-Nd"
D/D41,D4136,20100623,5,,2006,G.G.Kiss+,,"Jour: European Physical Journal A Supplement, Vol.27, p.197 (2006)","Study of the 106Cd(a,a)106Cd scattering at energies relevant to the p-process"
D/D41,D4137,20060828,3,,2003,M.R.Zaman+,,"Jour: Radiochimica Acta, Vol.91, p.105 (2003)","Production of Co55 via the Fe54(d,a)-process and excitation functions of 54Fe(d,t)53Fe and 54Fe(d,a)52mMn reactions from threshold up to 13.8 MeV."
D/D41,D4138,20060727,9,,2004,A.Hermanne+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.217, p.193 (2004)","Experimental cross section for charged particle production of the therapeutic radionuclide 111Ag and its PET imaging analogue 104m,gAg."
D/D41,D4139,20040120,7,,2003,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.211, p.22 (2003)","New experimental data on excitation functions for practical applications of alpha induced nuclear reactions on Ta up to 30 MeV."
D/D41,D4140,20040212,8,,2003,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.211, p.312 (2003)","Excitation functions of 3He-particle induced nuclear reaction on iron"
D/D41,D4141,20060727,9,,2003,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.211, p.319 (2003)","Excitation functions of deuteron induced nuclear reactions on natural tungsten up to 50 MeV"
D/D41,D4142,20060809,2,,1996,I.Mahunka+,,"Jour: J. of Radioanalytical and Nucl. Chem., Letters, Vol.213, p.135 (1996)","Iodine-123 production at a small cyclotron for medical use"
D/D41,D4143,20060727,15,,2004,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.217, p.373 (2004)","Excitation functions for production of radioisotopes of niobium, zirconium and yttrium by irradiation of zirconium with deuterons"
D/D41,D4144,20060727,8,,2004,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.217, p.531 (2004)","Excitation functions deuteron induced nuclear reactions on natural zinc up to 50 MeV"
D/D41,D4145,20040601,2,,2003,Z.Kovacs+,,"Jour: J.of Labelled Comp.and Radiopharmaceut.Suppl., Vol.46, p.267 (2003)","Cross sections of proton induced reactions on nitrogen: Determination of 14-O and 13-N contaminants in 11-C production."
D/D41,D4146,20040601,2,,2000,F.Ditroi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.161-163, p.172 (2000)","Investigation of deuteron induced nuclear reactions on niobium."
D/D41,D4147,20100615,17,,2005,S.Takacs+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.240, p.790 (2005)","Validation and Upgrade of the Recommended Cross Section Data of Charged Particle Reactions to produce Gamma Emitter Radioisotopes"
D/D41,D4148,20050712,2,,2005,I.Spahn+,,"Jour: Applied Radiation and Isotopes, Vol.63, p.235 (2005)","Cross-section measurement of the 169Tm(p,n) reaction for the production of the therapeutic radionuclide 169-Yb and comparison with its reactor-based generation"
D/D41,D4149,20050712,15,,2005,F.Tarkanyi+,,"Jour: Applied Radiation and Isotopes, Vol.62, p.73 (2005)","Activation cross-sections of long-lived products of proton-induced nuclear reactions on zinc"
D/D41,D4150,20050722,10,,2004,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.226, p.490 (2004)","Activation cross-sections of deuteron induced reactions on platinum"
D/D41,D4151,20110509,3,,2007,Gy.Gyurky+,,"Jour: Jour. of Physics, Part G (Nucl.and Part.Phys.), Vol.34, p.817 (2007)","106,108Cd(p,gamma)107,109In cross sections for the astrophysical p-process"
D/D41,D4152,20110509,3,,2004,B.Sholten+,,"Jour: Radiochimica Acta, Vol.92, p.203 (2004)","Excitation functions of deuteron induced nuclear reactions on enriched 78Kr with particular relevance to the production of 76Br"
D/D41,D4153,20080226,3,,2004,A.Hermanne+,,"Jour: Radiochimica Acta, Vol.92, p.215 (2004)","Cross section measurements of proton and deuteron induced formation of 103Ag in natural palladium"
D/D41,D4154,20050913,5,,2004,F.Tarkanyi+,,"Jour: Radiochimica Acta, Vol.92, p.223 (2004)","Cross sections for production of the therapeutic radioisotopes 198Au and 199Au in proton and deuteron induced reactions on 198Pt"
D/D41,D4155,20061110,6,,2006,G.A.Sziki+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.251, p.343 (2006)","Gamma ray production cross-sections of deuteron induced nuclear reactions for light element analysis"
D/D41,D4156,20070719,8,,2007,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.255, p.297 (2007)","Production of longer lived radionuclides in deuteron induced reactions on niobium"
D/D41,D4157,20070925,8,,2007,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.259, p.829 (2007)","Study of activation cross-sections of deuteron induced reactions on erbium: Production of radioisotopes for practical applications"
D/D41,D4158,20060727,6,,2004,A.Fenyvesi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.222, p.355 (2004)","Excitation functions of nuclear reactions induced by HE3-particles in cobalt"
D/D41,D4159,20051117,6,,2006,K.F.Hassan+,,"Jour: Applied Radiation and Isotopes, Vol.64, p.101 (2006)","Alpha particle induced reactions on natSb and 121Sb with particular reference to the production of the medically interesting radionuclide"
D/D41,D4160,20070530,12,,2005,F.Tarkanyi+,,"Jour: Radiochimica Acta, Vol.93, p.561 (2005)","Investigation of the production of the therapeutic radioisotope In-114m through proton and deuteron induced nuclear reactions on cadmium"
D/D41,D4161,20070220,6,,2005,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.239, p.293 (2005)","Activation cross sections of proton induced nuclear reactions on iridium"
D/D41,D4162,20100623,6,,2005,D.Galaviz+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.71, p.065802 (2005)","Elastic alpha scattering on 112Sn and 114Sn at astrophysically relevant energies"
D/D41,D4163,20080408,8,,2006,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.252, p.160 (2006)","Excitation functions of proton induced nuclear reactions on natural tungsten up to 34 MeV"
D/D41,D4165,20110509,3,,2005,A.Hermanne+,,"Conf: Int.Conf.on Isotopes (5ICI), Brussels, April 2005,  (2005)","Deuteron-induced reactions on Yb: a carrier-free alternative to reactor-produced 177Lu?"
D/D41,D4167,20080625,5,,2004,F.Tarkanyi+,,"Conf: Conf.on Nucl.Data for Sci.and Techn., Santa Fe 2004, Vol.2, p.1658 (2004)","Excitation functions for production oy 88Zr and 88Y by proton and deuteron irradiation of Mo, Nb, Zr and Y"
D/D41,D4168,20070509,7,,2007,S.Takacs+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.262, p.7 (2007)","Evaluated activation cross sections of longer-lived radionuclides produced by deuteron induced reactions on natural titanium"
D/D41,D4169,20060818,11,,2006,Gy.Gyurky+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.74, p.025805 (2006)","Alpha-induced cross sections of 106Cd for the astrophysical p process"
D/D41,D4170,20060410,13,,2006,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.245, p.379 (2006)","Activation cross-sections on cadmium: Proton induced nuclear reactions up to 80 MeV"
D/D41,D4171,20060324,4,,2006,K.F.Hassan+,,"Jour: Applied Radiation and Isotopes, Vol.64, p.409 (2006)","3He-particle-induced reactions on natSb for production of 124I"
D/D41,D4172,20060412,10,,2006,S.Sudar+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.73, p.034613 (2006)","Cross sections for the formation of 195Hgm,g, 197Hgm,g and 196Aum,g in alpha- and 3He-particle induced reactions on Pt: Effect of level density parameters on the calculated isomeric cross-section ratio"
D/D41,D4173,20060523,8,,2006,A.Hermanne+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.247, p.180 (2006)","Experimental study of the excitation functions of proton induced reactions on natural Sn up to 65 MeV"
D/D41,D4174,20061213,6,,2006,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.247, p.210 (2006)","Cross sections of deuteron induced nuclear reactions on iridium"
D/D41,D4175,20060524,7,,2006,A.Hermanne+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.247, p.223 (2006)","Deuteron-induced reactions on Yb: Measured cross sections and rationale for production pathways of carrier-free, medically relevant radionuclides"
D/D41,D4176,20060913,10,,2006,S.Takacs+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.251, p.56 (2006)","Evaluated activation cross sections of longer-lived radionuclides produced by deuteron-induced reactions on natural copper"
D/D41,D4177,20060524,5,,2006,B.Kiraly+,,"Jour: Journal of Radioanalytical and Nuclear Chemistry, Vol.270, Issue.2, p.369 (2006)","Excitation functions of proton induced nuclear reactions on natural tellurium up to 18 MeV for validation of isotopic cross sections"
D/D41,D4178,20070509,15,,2007,S.Takacs+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.260, p.495 (2007)","Evaluated activation cross sections of longer-lived radionuclides produced by deuteron-induced reactions on natural nickel"
D/D41,D4179,20070329,18,,2007,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.259, p.817 (2007)","Activation cross sections on cadmium: Deuteron induced nuclear reactions up to 40 MeV"
D/D41,D4180,20070508,4,,2007,F.Tarkanyi+,,"Jour: Applied Radiation and Isotopes, Vol.65, p.663 (2007)","Activation cross sections of the 169Tm(d,2n) reaction for production of the therapeutic radionuclide 169Yb"
D/D41,D4181,20070507,10,,2004,F.Ditroi+,,"Conf: Conf.on Nucl.Data for Sci.and Techn., Santa Fe 2004, Vol.769, p.1011 (2004)","Investigation of activation cross sections of the proton induced nuclear reactions on natural iron at medium energies"
D/D41,D4182,20070509,3,,2007,A.Hermanne+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.258, p.308 (2007)","Activation cross sections of the 64Ni(d,2n) reaction for the production of the medical radionuclide 64Cu"
D/D41,D4183,20070510,7,,2007,F.Ditroi+,,"Jour: Journal of Radioanalytical and Nuclear Chemistry, Vol.272, p.231 (2007)","Measurement of activation cross sections of the proton induced nuclear reactions on palladium"
D/D41,D4184,20081127,4,,2008,B.Kiraly+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.266, p.549 (2008)","Excitation functions of alpha-induced nuclear reactions on natural erbium and natural ytterbium targets"
D/D41,D4185,20090504,8,,2009,B.Kiraly+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.267, p.15 (2009)","Evaluated activation cross sections of longer-lived radionuclides produced by deuteron induced reactions on natural iron up to 10 MeV"
D/D41,D4186,20090820,6,,2007,F.Szelecsenyi+,,"Conf: Conf.on Nucl.Data for Sci. and Technology, Nice 2007, Vol.2, p.1259 (2007)","Application of Au + p nuclear reactions for proton beam monitoring up to 70MeV"
D/D41,D4187,20081022,3,,2007,S.Sudar+,,"Conf: Conf.on Nucl.Data for Sci. and Technology, Nice 2007, Vol.1, p.467 (2007)","Formation of high-spin neodynium and mercury isomers in neutron and charged particle induced nuclear reactions"
D/D41,D4188,20081105,7,,2008,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.266, p.4872 (2008)","Study of activation cross sections of proton induced reactions on erbium for practical applications"
D/D41,D4189,20070806,9,,2007,R.A.Rebeles+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.260, p.672 (2007)","Alpha induced reactions on natSn: An experimental study of excitation functions and possible production pathways"
D/D41,D4190,20070920,8,,1992,A.S.M.A.Romo+,,"Jour: Radiochimica Acta, Vol.57, p.57 (1992)","Nuclear reactions induced by alpha particles on natural ytterbium"
D/D41,D4191,20080729,6,,2007,S.M.Qaim+,,"Jour: Radiochimica Acta, Vol.95, p.313 (2007)","Nuclear data for production of 88Y, 140Nd,153Sm and 169Yb via novel routes"
D/D41,D4192,20071112,3,,2007,F.Tarkanyi+,,"Jour: Applied Radiation and Isotopes, Vol.65, p.1215 (2007)","Study of the 192Os(d,2n) reaction for production of the therapeutic radionuclide 192Ir in no-carrier added form"
D/D41,D4193,20120109,2,,2007,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.264, p.389 (2007)","New measurement and evaluation of the excitation function of the 186W(p,n) nuclear reaction for production of the therapeutic radioisotope 186Re"
D/D41,D4194,20120201,7,,2007,G.G.Kiss+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.76, p.055807 (2007)","70Ge(p,g)71As and 76Ge(p,n)76As cross sections for the astrophysical p process: Sensitivity of the optical proton potential at low energies"
D/D41,D4195,20090827,4,,1995,B.P.Singh+,,"Jour: Physica Scripta, Vol.51, p.440 (1995)","Measurement and analysis of excitation functions for the reactions 165Ho(a,xn) (x=1-3) in the energy range 10-40 MeV"
D/D41,D4196,20111005,3,,2009,G.G.Kiss+,10.1103/PhysRevC.80.045807,"Jour: Physical Review, Part C, Nuclear Physics, Vol.80, p.045807 (2009)","Study of the 89Y(a,a)89Y reaction close to the Coulomb barrier"
D/D41,D4197,20081020,6,,2007,K.Hilgers+,,"Jour: Physical Review, Part C, Nuclear Physics, Vol.76, p.064601 (2007)","Formation of the isomeric pairs 139Ndm,g and 141Ndm,g in proton and 3He-particle induced nuclear reactions"
D/D41,D4198,20080415,3,,2008,K.Hilgers+,,"Jour: Applied Radiation and Isotopes, Vol.66, p.545 (2008)","Production of the therapeutic radionuclides 193mPt and 195mPt with high specific activity via alfa-particle- induced reactions on 192Os"
D/D41,D4199,20081127,7,,2008,B.Kiraly+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.266, p.549 (2008)","Excitation functions of alpha-induced nuclear reactions on natural erbium"
D/D42,D4200,20080828,3,,2008,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.266, p.3529 (2008)","Experimental study of the 165Ho(d,2n) and 165Ho(d,p) nuclear reactions up to 20 MeV for production of the therapeutic radioisotopes 165Er and 166gHo"
D/D42,D4201,20080828,2,,2008,F.Tarkanyi+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.266, p.3346 (2008)","Experimental study of the 165Ho(p,n) nuclear reaction for production of the therapeutic radioisotope 165Er"
D/D42,D4202,20081010,5,,2007,B.Scholten+,,"Conf: Conf.on Nucl.Data for Sci. and Technology, Nice 2007, Vol.2, p.1359 (2007)","Comparative studies on the production of the medically important radionuclide 124I via p-, d-, 3He- and alpha-particle induced reactions"
D/D42,D4203,20080911,12,,2008,B.Kiraly+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.266, p.3919 (2008)","Excitation functions of alpha-particle induced nuclear reactions on natural ytterbium"
D/D42,D4204,20081104,12,,2008,R.A.Rebeles+,,"Jour: Nucl. Instrum. Methods in Physics Res., Sect.B, Vol.266, p.4731 (2008)","Alpha induced reactions on 114Cd and 116Cd: An experimental study of excitation functions"
